NAME_0,NAME_1,NAME_2,longitude,latitude
India,Andaman and Nicobar,North and Middle Andaman,92.87285899708196,12.852938176802173
India,Andaman and Nicobar,South Andaman,92.66512369130102,11.52811011425736
India,Andhra Pradesh,Anantapur,77.57084647775922,14.475092112469728
India,Andhra Pradesh,Chittoor,79.0039376606638,13.45659735903294
India,Andhra Pradesh,East Godavari,82.00102149340557,17.183853150571476
India,Andhra Pradesh,Guntur,80.08127788748507,16.291438610432373
India,Andhra Pradesh,Krishna,80.79289725061821,16.55041094105699
India,Andhra Pradesh,Kurnool,78.00002848234163,15.528010901701913
India,Andhra Pradesh,Nellore,79.71998600334027,14.435256005242508
India,Andhra Pradesh,Prakasam,79.50950385641946,15.611367900214256
India,Andhra Pradesh,Srikakulam,83.97930710568325,18.57117950494549
India,Andhra Pradesh,Vizianagaram,83.36384689811466,18.465278733453978
India,Andhra Pradesh,West Godavari,81.39222800833001,16.88689249490299
India,Arunachal Pradesh,Anjaw,96.82692131365273,28.07219288042268
India,Arunachal Pradesh,Changlang,96.34488117526972,27.370372597906375
India,Arunachal Pradesh,East Kameng,93.03203401420014,27.29399689897325
India,Arunachal Pradesh,East Siang,95.16329130654981,28.117908934691812
India,Arunachal Pradesh,Kurung Kumey,93.3177810809792,28.03804908818053
India,Arunachal Pradesh,Lohit,96.22820239994338,27.870889156724196
India,Arunachal Pradesh,Longding,95.33569388730078,26.858475480064726
India,Arunachal Pradesh,Lower Dibang Valley,95.81779898908742,28.363962273777386
India,Arunachal Pradesh,Lower Subansiri,93.87234806745627,27.671107031866548
India,Arunachal Pradesh,Namsai,95.8996537920462,27.652567233709117
India,Arunachal Pradesh,Papum Pare,93.58822995851992,27.274604293992205
India,Arunachal Pradesh,Tawang,91.91830420382507,27.655713230906432
India,Arunachal Pradesh,Tirap,95.5301431748037,27.034568266913745
India,Arunachal Pradesh,Upper Siang,94.90818664518847,28.828349318826774
India,Arunachal Pradesh,Upper Subansiri,93.93246650163479,28.291684324047253
India,Arunachal Pradesh,West Kameng,92.51480639409698,27.433898812791142
India,Arunachal Pradesh,West Siang,94.50827827880414,28.314142433083852
India,Assam,Baksa,91.341584575989,26.665985295261102
India,Assam,Barpeta,91.00368935142984,26.337738037068164
India,Assam,Bongaigaon,90.61351069636234,26.346281224405494
India,Assam,Cachar,92.85752056389396,24.81377547623807
India,Assam,Chirang,90.67846550156293,26.627015034801886
India,Assam,Darrang,92.03442639852335,26.449382050388905
India,Assam,Dhemaji,94.78022274421642,27.590357596437595
India,Assam,Dhubri,90.02905763929722,26.101506638546628
India,Assam,Dibrugarh,95.05490893107958,27.371417295634085
India,Assam,Dima Hasao,93.03395059919299,25.380104606994447
India,Assam,Goalpara,90.60869689271813,26.048034910488216
India,Assam,Golaghat,93.83687005674845,26.478763461460936
India,Assam,Hailakandi,92.58903386797827,24.496497755296677
India,Assam,Jorhat,94.27414915552173,26.795246443586674
India,Assam,Kamrup,91.4270914379189,26.103623350066
India,Assam,Karbi Anglong,93.14761961448622,26.068380728381378
India,Assam,Karimganj,92.38083912025675,24.57872694528399
India,Assam,Kokrajhar,90.19811007947784,26.584343006839372
India,Assam,Lakhimpur,94.13502057706948,27.17435110354353
India,Assam,Morigaon,92.28019515101374,26.285723986520726
India,Assam,Nagaon,92.8416613742104,26.22552823841121
India,Assam,Nalbari,91.38392877047906,26.37544175637809
India,Assam,Sivasagar,94.81926656888764,27.012288315263966
India,Assam,Sonitpur,92.92733397844277,26.782577655903705
India,Assam,Tinsukia,95.6255185300875,27.584267812112106
India,Assam,Udalguri,92.01966262530313,26.733210369690134
