State,District,Solar Irradiance,Cropping Intensity(%),Irrigation Intensity (%),IWU (% of CWU),Elect(%),GW_dev_stage (%),Surface water area (km2)-%,Cultivated land (%),Electricity Subsidy,GW share irr (% of IWU),WL (m),Small& Marginal % Holdings
gujarat,Morbi,5.59,132.2,52.6,77.98,100,45.9,0.9,73.76,60,98.68,13.5,60.33
rajasthan,Nagaur,5.4,125.45,24.7,72.06,85,181.68,0.05,72.9,167,99.9,33.6,38.96
gujarat,Narmada,5.32,122.14,29.1,73.68,100,55.79,0.54,41.17,60,82.99,9.7,65.32
madhya pradesh,Rajgarh,4.55,197.43,45.2,71.41,100,89.78,0.98,78.29,135,71.55,12.4,74.2
gujarat,Sabar Kantha,5.51,145.55,73.4,80.42,40,71.31,0,64.01,60,98.12,13.2,76.98
madhya pradesh,Sehore,5.23,213.68,53.5,73.07,98,61.78,0.74,61.73,135,66.67,11.9,67.13
haryana,Sirsa,4.93,194,97.6,82.96,80,148.48,0.01,92.23,10,19.17,13.1,60.15
gujarat,Surendranagar,5.56,144.73,52.3,75.37,100,47.7,0.36,69.85,60,98.23,6.4,46.35
uttarakhand,Almora,4.82,143.2,0,46.23,89,0,0,13.9,285,0.13,21.14,95.62
tamil nadu,Cuddalore,5.33,150.92,59.3,57.04,99,64.14,23.56,57.22,0,54.62,28.5,94.34
uttarakhand,Dehradun,4.76,149.98,52,52.49,100,32.15,0.06,9.28,285,32.11,10.3,88.66
haryana,Fatehabad,4.9,200.96,99,85.6,100,182.46,0.14,87.71,10,36.25,12.06,64.41
uttar pradesh,Firozabad,4.9,178.35,73.7,68.1,67,104.69,0.06,73.29,0,86.67,11.5,89.41
uttar pradesh,Ghaziabad,4.8,150.28,100,76.72,8,123.15,0.36,53.77,0,78.46,11.6,91.8
gujarat,Gir Somnath,5.5,157.57,58.2,84.84,100,45.85,0.68,66.46,60,98.99,9.73,78.45
uttar pradesh,Gonda,4.76,177.23,88.2,70.02,41,60.11,0.29,60.46,0,83.23,5.02,96.5
haryana,Jind,4.83,157.96,99.1,81.22,92,105.27,0.15,92.58,10,43.46,13.2,65.98
uttarakhand,Udham Singh Nagar,4.8,196.29,98.7,63.29,0,57.53,1.51,47.92,285,82.09,5.5,79.25
tamil nadu,Viluppuram,5.38,126.63,68.3,61.69,99,88.2,1367.43,48.31,0,80.99,4.73,95.6
delhi,West,4.68,182.11,0,80.69,56,96.24,0.02,14.84,150,75.73,20.29,81.39
karnataka,Chikballapura,5.52,112.12,26.9,56.52,99,153.82,0.22,49.84,0,78.78,15.9,91.53
karnataka,Chikmagalur,5.2,137.1,16.9,46.79,99,53.2,0.04,42.65,0,48.58,7.4,83.19
karnataka,Dakshina Kannada,5.14,102.89,50,48.13,100,44.78,0,39.83,0,89.88,7.6,91.81
daman and diu,Daman,5.29,102.79,0,,100,158.84,0,89.87,110,0,5.5,97.91
rajasthan,Dausa,5.14,163.25,42.1,70.29,86,233.22,0.05,65.95,167,99.15,30.6,81.17
tamil nadu,Dharmapuri,5.35,149.12,37.9,65.06,98,98.78,0.33,37.09,0,76.84,9.17,95.03
sikkim,East Sikkim,3.86,,15.4,16.62,18,4.38,0.01,,0,0.02,5.67,82.06
jammu and kashmir,Kargil,4.47,,100,19.61,0,25.07,0,,235,0.24,13.79,94.29
west bengal,Koch Bihar,4.34,214.99,15.8,26.58,65,44.68,1.12,77.55,460,91.19,2.93,94.06
lakshadweep,Lakshadweep,5.53,106.81,0,,99,61.72,0,80.63,0,100,4.12,0
gujarat,Aravalli,5.5,166.31,65.6,79.21,91,41.92,1.02,69.02,60,97.76,17.06,71.15
haryana,Bhiwani,4.9,180.93,70.7,76.72,100,106.66,0,89.6,10,61.68,12.6,58.76
madhya pradesh,Indore,5.27,199.3,45.7,70.31,98,119.38,0.36,65.56,135,85.53,16.8,71.89
gujarat,Junagadh,5.51,188.94,58.4,83.36,100,42.26,0.33,63.82,60,99.02,13.5,68.06
gujarat,Vadodara,5.39,124.24,68.2,74.69,100,64.36,1.29,71.82,60,84.63,12,75.3
tamil nadu,Erode,5.23,110.66,65.1,68.28,84,80.18,1.72,28.11,0,52.53,10.5,82.87
jammu and kashmir,Ganderbal,4.26,155.3,79.9,44.36,100,51.67,5.39,32.14,235,0.37,6.39,99.35
kerala,Kasaragod,5.16,102.37,43,38.84,95,72.75,2.49,74.55,195,75.5,10.3,98.19
uttar pradesh,Agra,4.92,167.22,65.9,67.42,99,116.38,0.2,64.4,0,88.01,21.6,84.89
rajasthan,Baran,4.82,192.47,52.9,69.29,88,128.77,1.96,49.22,167,67.03,6,67.07
gujarat,Gandhinagar,5.52,125.41,63.5,79.93,91,92.3,1.03,78.44,60,99.63,78.1,84.14
rajasthan,Jalor,5.57,143.32,45.7,71.35,95,181.46,0.22,62.65,167,97.76,29.31,32.25
rajasthan,Jhunjhunun,5.09,160.99,39.9,68.18,93,216.66,0,65.14,167,99.34,64.34,71.95
rajasthan,Jodhpur,5.56,134.96,47.8,75.59,78,256.74,0.03,61.9,167,96.28,22.62,26.61
karnataka,Kodagu,4.95,165.32,1.3,47.67,100,40.39,1.38,48.75,0,32.62,8.9,67.72
uttar pradesh,Moradabad,4.8,170.64,93.9,73.66,56,88.64,0.12,80.83,0,81.39,10.9,92.82
haryana,Panchkula,4.79,215.17,65.8,57.71,100,63.01,0.13,40.6,10,87.32,10.7,80.18
west bengal,Pashchim Medinipur,4.86,222.91,28,42.54,85,52.95,1,62.77,460,59.5,10.28,97.62
nagaland,Peren,4.35,154.07,29.1,31.52,100,1.59,0.01,17.37,320,0.04,5.01,31.75
gujarat,Porbandar,5.54,193.95,53.1,78.76,100,50.1,0.41,50.17,60,98.24,10.8,67.83
rajasthan,Sawai Madhopur,5.18,160.92,57.8,65.02,69,161.27,0.91,55.62,167,95.02,11.28,73.75
himachal pradesh,Solan,4.77,186.08,24.7,46.07,100,57.09,0.55,17.25,30,58,13.9,76.17
tamil nadu,Theni,5.52,109.63,56.9,57.27,32,75.94,1.19,33.17,0,82.55,10.3,90.58
tamil nadu,Tiruppur,5.6,102.38,61.8,58.61,96,87.01,0.12,36.62,0,59.99,7.2,71.77
telangana,Hyderabad,5.35,,0,,0,93.62,0.21,0,0,93.42,8.8,0
gujarat,The Dangs,5.24,144.52,32.4,68.85,100,10,1.17,31.73,60,77.94,4.8,28.24
haryana,Ambala,4.78,170.98,94.8,65.82,100,123.06,0.32,96.68,10,93.69,8.9,72.13
uttar pradesh,Kaushambi,,161.32,78.9,74.1,26,81.73,0.4,64.97,0,82.46,15.6,94.31
haryana,Sonipat,4.81,215.08,100,79.68,84,100.49,0,71.61,10,50.21,11.19,68.71
rajasthan,Alwar,5.02,182.93,60.7,66.88,100,182.88,0.06,62.57,167,96.99,33.96,84.5
karnataka,Chamrajnagar,5.24,113.5,30.9,59.5,99,96.53,0.01,31.34,0,61.39,9.4,89.64
tamil nadu,Coimbatore,5.33,106.26,65.9,61.47,90,89.03,0.15,35,0,64.7,20.2,75.48
daman and diu,Diu,5.6,102.6,104.9,63.64,99,230.02,0,74.96,110,99.02,5.9,97.87
haryana,Gurgaon,4.86,100.9,99.4,74.65,100,214,0.12,97.77,10,77.39,30.3,79.75
haryana,Kaithal,4.81,202.71,100,80.04,94,193.81,0.04,84.69,10,61.47,24.6,67.08
rajasthan,Karauli,5.13,170.76,46.8,63.68,100,158.04,0.38,38.31,167,93.66,14.87,79.46
haryana,Panipat,4.79,201.39,100,81,98,198.16,0.38,75.27,10,78.73,17,78.57
tamil nadu,Vellore,5.36,129.29,57.6,55.71,92,112.5,1.33,21.59,0,90.99,8.18,95.93
punjab,Barnala,4.84,194.94,100,77.34,0,223.59,0.03,88.81,0,78.38,33.6,0
karnataka,Bijapur-K,5.34,100.07,6.1,57.46,100,40.5,0,12.37,0,79.27,6.6,53.9
gujarat,Kachchh,5.53,127.88,36.6,72.35,99,54.05,0.15,15.07,60,85.21,16.2,42.85
haryana,Mahendragarh,5,187.68,59.5,70.62,82,146.51,0.26,78.47,10,92.63,30.5,72.13
gujarat,Patan,5.52,160.7,47.5,74.97,100,98.74,0.85,57.69,60,98.75,56.1,63.08
uttar pradesh,Gautam Buddha Nagar,4.81,191.23,100,82.86,77,104.79,0,41.06,0,69.93,19.2,91.82
gujarat,Ahmadabad,5.36,135.68,59.3,82.89,100,87.32,0.79,68.92,60,68.88,21.1,58.24
chandigarh,Chandigarh,4.7,155.92,0,64.38,99,75.41,2.63,16.83,260,97.16,28.5,82.82
rajasthan,Dhaulpur,5.03,163.43,55,62.77,100,135.98,0,51.22,167,93.34,13.8,84.79
punjab,Fazilka,4.91,196.62,100,84.87,97,76.21,0.18,87.94,0,48.44,4.94,0
haryana,Karnal,4.78,199.18,100,74.99,95,172.93,0.07,81.4,10,85.67,20.7,65.11
haryana,Kurukshetra,4.78,204.02,100,76.05,93,226.3,0.01,84.85,10,91.76,36.9,70.41
haryana,Rewari,4.92,127.36,97.1,67.08,99,132.81,0,83.37,10,90.77,34.2,73.38
gujarat,Mahesana,5.54,152.94,76.5,77.04,100,108.2,1.33,77.44,60,97.47,36.9,83.67
sikkim,North Sikkim,3.8,,0,12.88,65,2.74,0.01,,0,2.07,6.26,54.87
haryana,Yamunanagar,4.76,196.21,98.7,64.74,100,138.53,0.32,65.75,10,92.77,15.3,72.06
haryana,Faridabad,4.85,410.4,100,83.51,100,200.45,0.27,43.16,10,67.79,27.4,79.9
punjab,Faridkot,4.87,194.57,100,81.17,100,128.8,0.11,86.49,0,36.79,6.8,0
punjab,Bathinda,4.89,190.37,99.8,81.02,100,105,0.19,87.09,0,39.31,15.6,0
punjab,Firozpur,4.86,187.83,100,86.45,99,131.89,0.12,91.5,0,55.12,8.35,0
punjab,Mansa,4.88,199.15,99.7,84.32,96,98.94,0.25,86.22,0,44.44,12.2,0
punjab,Muktsar,4.9,199.12,99.9,84,89,24.13,0.33,86.73,0,36.11,3.16,0
punjab,Patiala,4.79,196.74,99.7,70.36,99,214.72,0.43,80.02,0,95.2,28.2,0
punjab,Pathankot,4.61,198.53,55.2,54.58,100,51.47,0.07,50.33,0,68.13,6.27,0
gujarat,Banas Kantha,5.53,193.22,71.7,68.46,95,115.52,0.69,64.45,60,97.66,39.3,59
punjab,Gurdaspur,4.64,195.9,95.3,54.84,90,141.99,0.27,81.25,0,90.64,7.5,0
punjab,Rupnagar,4.68,189.01,83.2,59.97,60,98.56,0.12,58.08,0,93.7,12.4,0
punjab,Amritsar,4.71,188.21,100,66.69,100,178.11,0.25,83.14,0,78.37,15,33.13
punjab,Ludhiana,4.76,189.42,100,68.72,99,221.04,0.7,81.12,0,94.62,17.9,0
punjab,Sangrur,4.84,199.37,100,77.39,81,313.41,0.24,87.66,0,83.8,33.6,0
punjab,Hoshiarpur,4.68,165.69,93.7,56.7,99,117.58,0.18,59.8,0,95.49,13.6,0
punjab,Kapurthala,4.71,202.21,100,64.14,94,237.4,0.13,79.12,0,97.29,17.6,0
punjab,Tarn Taran,4.75,182.97,100,66.54,100,213.98,0.19,89.99,0,75.91,19.3,0
punjab,Jalandhar,4.71,171.06,100,65.72,95,263.6,0.24,90.8,0,98.87,24.28,0
punjab,Fatehgarh Sahib,4.75,186.4,100,68.66,83,215.61,0.63,88.86,0,97.59,23.5,0
punjab,Moga,4.8,200.11,100,76.7,96,237.22,0.12,86.75,0,75.57,24.9,0
punjab,Shahid Bhagat Singh Nagar,4.71,192.94,96.3,65.88,99,123.24,0,73.84,0,96.41,19.6,0
punjab,Sahibzada Ajit Singh Nagar,4.68,134.61,100,60.39,99,130,0,71.03,0,96.57,18.38,0
west bengal,Barddhaman,4.81,119.96,,,,51.6,0,33.87,460,,8.3,
arunachal pradesh,Dibang Valley,2.9,120.11,,,,0,0,49.16,290,,6.32,
maharashtra,Palghar,,,,,,23.85,0.29,,,,8.04,
