State,District,Solar Irradiance,Cropping Intensity(%),Irrigation Intensity (%),IWU (% of CWU),Elect(%),GW_dev_stage (%),Surface water area (km2)-%,Cultivated land (%),Electricity Subsidy,GW share irr (% of IWU),WL (m),Small& Marginal % Holdings
chhattisgarh,Gariaband,5.12,120.94,39.3,45.28,96,63.94,28.36,22.39,0,11.46,5.48,82.49
odisha,Jharsuguda,5.12,104.78,2.8,37.53,37,51.44,0.61,30.76,150,18.19,4.71,92.46
odisha,Kalahandi,5.11,121.31,39,44.4,18,41.81,125.89,43.42,150,6.29,4.18,86.86
uttar pradesh,Lalitpur,5.21,101.22,45.8,75.17,7,84.64,0.15,57.02,0,49.7,6.2,81.42
chhattisgarh,Mahasamund,5.16,116.59,42.9,44.17,56,59.94,1.19,52.61,0,18.11,7.1,83.18
odisha,Malkangiri,5.1,100.44,4.1,37.59,48,16.8,0.15,33.81,150,11.04,3.43,82.62
jharkhand,Palamu,5.11,173.12,31.3,47.05,22,34.99,1.49,16.72,95,39.52,7.46,92.5
west bengal,Puruliya,4.99,125.25,15.8,48.48,86,17.26,2.35,52.66,460,8.46,5.3,94.78
andhra pradesh,Srikakulam,5.05,139.79,52.8,55.37,55,33.33,7.29,48.21,0,19.75,4.1,96.76
rajasthan,Ajmer,5.42,144.82,18.7,74.18,97,142.91,27.85,54.17,167,90.43,8.52,76
madhya pradesh,Alirajpur,5.4,138.49,17.6,75.11,98,43.32,0.78,44.21,135,53.3,8.8,73.06
assam,Dima Hasao,4.3,131.51,1.8,33.15,5,1.01,0.01,8.64,465,28.12,3.24,99.43
madhya pradesh,Dindori,5.18,159.4,1.5,65.08,98,12.52,0.32,55.15,135,19.99,5.35,71.04
jharkhand,Dumka,4.83,153.05,10.6,34.31,0,24.61,1.36,14.08,95,41.68,5.9,70.05
meghalaya,East Garo Hills,4.37,110.47,36.1,28.76,0,4.11,0.1,15.63,300,0.73,3.43,84.41
meghalaya,East Khasi Hills,4.31,131.88,26.8,30.33,0,2.84,1.01,12.45,300,0.12,1.21,81.23
assam,Goalpara,4.38,171.55,18.3,37.76,0,21.18,0.76,39.68,465,42.89,3.9,88.16
andhra pradesh,Guntur,5.19,132.3,64.9,65.79,91,19.34,0.89,50.18,0,19.6,4.8,92.51
uttar pradesh,Hamirpur-UP,5.05,201.78,0,71.3,5,68.07,0.12,29.16,0,61.47,8.9,72.41
west bengal,Haora,4.74,186.09,32.2,45.48,3,21.55,7.51,57.67,460,17.28,3.73,99.73
odisha,Jajapur,4.95,116.64,18.1,34,27,65.94,0.08,38.85,150,25.66,4.3,95.75
assam,Kamrup,4.42,181.12,9.2,37.66,3,31.25,0.3,31.88,465,41.05,3.3,87.64
mizoram,Kolasib,4.6,100,23.5,32.61,0,1.22,0.76,16.41,380,0,1.62,44.13
odisha,Koraput,5.11,117.5,44.1,37.14,31,23.59,0.03,32.59,150,6.96,4.8,82.76
madhya pradesh,Mandla,5.21,159.51,17.4,68.07,100,20.41,4.81,24.47,135,18.65,6.07,78.24
assam,Nagaon,4.4,145.19,22.5,40.12,4,28.55,0.22,55.57,465,64,4.4,85.87
arunachal pradesh,Namsai,4.05,165.73,0,18.36,0,0,0,68.87,290,16.19,3.63,60.3
meghalaya,North Garo Hills,4.42,115.33,43.7,30.78,0,4.79,3.93,15.32,300,0,3.84,72.39
odisha,Nuapada,5.1,113.6,10.5,43.74,44,61.24,0.13,47.6,150,12.35,4.7,90.17
bihar,Pashchim Champaran,4.6,162.04,81.3,60.17,9,27.11,0,48.35,67.5,48.34,3.6,96.27
jharkhand,Pashchimi Singhbhum,5.08,166.21,1,35.33,2,10.45,1.17,15.1,95,7.09,6.7,75.55
bihar,Sitamarhi,4.6,180.45,84.5,63.12,1,50.54,27.76,58.1,67.5,90.44,2.9,98.85
odisha,Sundargarh,5.09,104.79,5.1,34.21,41,41.22,0.06,28.9,150,35.03,4.8,91.63
bihar,Supaul,4.5,172.58,71.3,46.62,0,32.87,1.84,57.06,67.5,66.6,2.8,96.65
arunachal pradesh,West Kameng,3.35,111.85,5,32.88,0,0.09,0,46.75,290,0,3.52,69.32
maharashtra,Bid,5.32,113.94,57.2,71.3,99,59.22,15.41,75.87,155,90.69,8.05,83.05
maharashtra,Gondiya,5.24,130.6,48.3,69,90,26.31,0.96,29.51,155,22.19,7.59,92.37
puducherry,Mahe,5.29,101.42,6,60.27,30,68.7,0,64.94,0,50.43,8.57,100
bihar,Patna,4.8,123.55,72.8,63.49,3,59.34,0.26,53.88,67.5,66.5,8.1,98.26
jharkhand,Sahibganj,4.66,106.24,7.3,42.13,1,16,0.73,22.85,95,56.5,5,87.02
maharashtra,Sangli,5.34,131.6,29.3,74.05,100,54.19,1.98,60.36,155,73.52,5.49,82.66
bihar,Saran,4.73,121.94,65.9,67.84,6,52.46,0.88,55.4,67.5,77.62,5.9,98.74
madhya pradesh,Singrauli,5.09,191.99,18.4,67.86,99,39.08,0.39,28.64,135,67.12,9.47,82.39
madhya pradesh,Anuppur,5.2,139.24,2.7,63.7,100,23.52,1.08,41.96,135,36.61,7.7,76.59
odisha,Balangir,5.14,113.38,1.9,46.7,0,49.64,0.12,49.63,150,30.29,3.98,90.62
chhattisgarh,Balrampur,5.15,114.07,8.8,46.84,100,22.09,0.27,25.88,0,25.64,7.22,75.56
chhattisgarh,Bastar,5.19,104.35,6.3,42.13,89,30.59,1.05,26.89,0,0,6.1,70.28
maharashtra,Chandrapur,5.25,125.96,22.2,65.27,100,29.32,0.43,35.14,155,41.72,6.8,69.52
uttar pradesh,Jalaun,4.99,141.72,56.1,76.12,37,55.17,0.16,75.43,0,37.76,9,78.69
odisha,Khordha,4.9,118.34,19.4,35.24,61,61.18,0.33,31.87,150,14.77,4.9,97.31
jharkhand,Latehar,5.07,130.57,22,38.69,2,29.2,2.34,11.16,95,35.21,7.2,79.81
odisha,Nayagarh,4.95,132.35,4.5,36.5,69,44.02,0.09,36.23,150,25.61,4.27,97.28
arunachal pradesh,Tirap,3.83,134.53,12.8,18.76,0,0.9,0,25.97,290,1.8,5.8,63.63
assam,Baksa,4.36,154.72,10.7,33.3,1,3.23,0.18,36.59,465,72.3,2.6,82.72
chhattisgarh,Balod,5.25,132.08,48.1,47.51,95,71.91,1.42,51.03,0,24.37,6.9,85.49
odisha,Bhadrak,4.76,109.35,49.9,31.02,73,60.28,0.45,62.87,150,10.08,3.1,95.69
assam,Chirang,4.46,127.21,9.6,33.26,5,2.53,0.35,30.95,465,58.69,2.1,90.73
odisha,Debagarh,5.02,111.37,4.9,35.15,49,57.44,0,28.24,150,13.42,4.9,94.19
jharkhand,Dhanbad,4.94,127.39,6.4,39.12,100,74.34,99.03,4.41,95,45.84,6.35,91.95
odisha,Dhenkanal,4.99,104.42,20.5,33.28,43,38.86,0.2,23.23,150,17.95,5.2,96.76
assam,Dibrugarh,4.11,109.37,1.2,24.41,5,6.71,0.63,44.56,465,60.26,3.9,85.2
jharkhand,Garhwa,5.09,135.43,30.1,46.55,3,35.75,1.75,17.1,95,41.05,7.3,90.85
karnataka,Hassan,5.3,129.64,15.3,47.07,97,71.35,7.76,62.89,0,49.76,9.8,92.12
west bengal,Jalpaiguri,4.27,156.15,8.9,26.95,44,12.26,0.18,59.96,460,62.47,4.02,96.31
bihar,Kaimur,4.95,150,91.9,58.75,0,37.8,1.38,49.12,67.5,41.66,8.9,93.4
odisha,Kendrapara,,120.81,40.6,33.41,46,63.66,0.33,56.57,150,4.9,2.39,96.61
bihar,Kishanganj,4.38,140.11,33.4,39.39,0,36.38,0.59,54.24,67.5,87.02,4.5,96.43
chhattisgarh,Korba,5.12,101.76,7,43.53,100,34.16,0.17,16.98,0,15.56,8.2,84.45
arunachal pradesh,Lower Subansiri,3.38,110.23,24,21.96,0,2.23,0,65.91,290,0.26,2.84,59.72
karnataka,Mysore,5.33,139.74,24.9,56.13,99,55.3,0.05,55.94,0,30.03,8.3,93.98
bihar,Nalanda,4.86,145.84,88.7,61.18,5,75.65,24,67.94,67.5,88.39,5.7,96.28
maharashtra,Nanded,5.3,116.31,15.5,65.91,100,32.37,1.22,68.38,155,80.01,9.07,80.59
andaman and nicobar,North and Middle Andaman,5.31,119.5,0,47.98,33,2.3,0.07,2.37,175,0.57,-1.23,57.44
goa,North Goa,5.19,114.72,20.4,63.83,100,25.2,2.74,44.95,150,30.11,4.8,91.3
jharkhand,Pakur,4.65,117.72,12.4,36.7,4,14.47,1.17,22.75,95,34.35,6.17,88.25
maharashtra,Pune,5.33,117.92,27.3,73.8,84,69.65,1.19,64.88,155,81.64,6.1,81.42
bihar,Purba Champaran,4.62,145.08,53.3,58.24,25,43.25,0,66.24,67.5,80.28,3.8,97.65
odisha,Puri,4.95,126.63,60.4,35.94,42,52.37,0.27,46.65,150,15.93,2.8,96.91
jammu and kashmir,Ramban,4.6,125.04,5.9,38.92,0,32.65,0,17.72,235,2.24,9.47,94.04
jharkhand,Ranchi,5.08,100.24,13,39.89,7,46.94,105.77,42.48,95,65.32,6.6,80.02
odisha,Rayagada,5.03,103.45,33,41.44,43,33.32,0.03,26.3,150,9.29,3.8,89.51
bihar,Saharsa,4.56,187.43,64,51.8,7,34.93,1.82,57.22,67.5,93.16,3.1,95.46
maharashtra,Satara,5.28,130.23,35.4,71.32,100,62.11,1.58,50.49,155,64.58,5.39,91.01
uttar pradesh,Sonbhadra,5.1,157.38,36.7,71.99,9,50.9,0.16,27.13,0,28.83,7.45,84.15
goa,South Goa,5.18,116.67,25.5,64.65,100,18.64,6.88,28.67,150,22.87,6.2,90.19
meghalaya,South West Khasi Hills,4.3,128.04,44.7,28.23,0,1.02,0.69,5.55,300,7.44,1.9,88.25
madhya pradesh,Umaria,5.25,186.76,27.2,70.81,98,18.71,1.75,25.47,135,54.03,9.5,81.14
kerala,Wayanad,5.07,144.57,13.2,52.78,99,27.67,1.07,53.4,195,20.3,7.7,96.7
nagaland,Zunheboto,4.13,130.37,11.5,30.37,0,4.08,0.01,28.51,320,0.04,3.45,34.79
andhra pradesh,Anantapur,5.46,106.69,18.6,70.21,100,33.28,2.58,44.63,0,73.47,8.8,72.01
karnataka,Bagalkot,5.43,133.37,49.3,74.9,15,81.72,0,76.96,0,52.22,7.9,69.77
karnataka,Belgaum,5.35,147.16,46.6,68.74,21,67.71,0,74.19,0,51.63,7.02,75.22
assam,Bongaigaon,4.33,143.55,28.6,34.67,0,26.51,0.29,56.31,465,60.41,3.8,94.48
uttarakhand,Champawat,4.8,155.76,0,48.02,0,0,0,6.05,285,3.47,17.9,94.8
manipur,Chandel,4.33,100,0,33.29,98,0,0,100,515,0.06,1.41,65.21
chhattisgarh,Dantewada,5.3,100.49,0.2,42.11,99,15.29,0.09,25.9,0,0,5.5,42.71
madhya pradesh,Harda,5.26,198.85,49.6,73.46,36,35.65,0.01,58.48,135,54.15,8.33,48.37
chhattisgarh,Kondagaon,5.21,105.94,5.5,54.35,98,36.85,0.15,22.02,0,28.26,4.86,69.7
himachal pradesh,Lahul & Spiti,4.7,100,0,26.53,0,0,0,0.39,30,0,9.21,72.7
uttar pradesh,Mahoba,5.05,163.35,28.9,70.4,3,91.45,0.26,71.21,0,56.23,6.46,73.98
assam,Nalbari,4.4,169.8,42.2,36.15,2,25.19,2.05,67.25,465,70.38,2.2,83
maharashtra,Parbhani,5.32,156.19,29.3,68.63,96,46.5,1.28,81.49,155,92.59,9.59,77.25
karnataka,Raichur,5.45,128.49,41,69.81,96,44.73,0.01,80.13,0,22.39,4.6,67.72
andaman and nicobar,South Andaman,4.9,103.56,0,80.3,95,3.48,0.03,2.45,175,0.57,0.66,74.81
meghalaya,West Garo Hills,4.38,127.94,39.1,35.63,2,17.94,1.67,23.53,300,13.19,3.5,71.91
andhra pradesh,East Godavari,5.07,157.2,74,62.36,96,29.69,3.18,31.08,0,24.66,5.4,94.9
chhattisgarh,Mungeli,5.18,171.21,46.2,49.74,100,55.88,5.6,46.8,0,25.68,8.24,89.99
kerala,Pathanamthitta,5.04,140.99,8.6,36.75,100,37.63,3.46,30.37,195,36.07,5.5,99.32
arunachal pradesh,Anjaw,3.5,109.2,0,19.37,0,0,0,40.87,290,5.07,4.03,53
maharashtra,Aurangabad-M,5.34,148.86,0,72.05,99,71.64,3.36,66.89,155,94.54,10.64,81.8
uttar pradesh,Balrampur-UP,4.78,114.07,0,73.26,30,59.58,0.38,25.88,0,79.73,4.39,93.2
jammu and kashmir,Bandipore,4.5,116.62,56.7,43.75,100,31.41,0,61.11,235,0.68,2,98.32
karnataka,Bellary,5.45,124.91,50.4,72.69,2,27.46,0.3,61.18,0,37.31,8.5,72.28
bihar,Darbhanga,4.63,114.15,79.7,55.63,30,52.34,2.69,55.48,67.5,83.38,3.6,97.83
uttar pradesh,Deoria,4.67,189.17,92.1,76.36,35,62.33,0.76,75.65,0,72.07,4.14,96.22
assam,Dhubri,4.41,168.64,13.4,35.63,3,28.66,0.75,42.35,465,66.28,4.8,87.9
karnataka,Gadag,5.38,153.64,16.4,66.52,99,74.62,0.02,84.43,0,49.67,10.4,64.06
uttar pradesh,Gorakhpur,4.71,166.57,69.6,75.85,2,63.42,0.71,71.07,0,78.69,4.7,96.83
chhattisgarh,Jashpur,5.14,104.78,3.9,38.79,97,43.08,0.15,37.51,0,37.86,6.5,65.18
uttar pradesh,Jhansi,5.11,147.61,48.1,71.31,18,67.54,0.25,63.19,0,51.4,8.4,77.73
assam,Kamrup Metropolitan,4.41,112.51,3.4,33.74,7,77.72,0.2,30.13,465,50.61,2.9,89.65
puducherry,Karaikal,5.46,136.26,80.1,66.55,61,28.37,1.53,29.54,0,10.99,3.1,82.33
tripura,Khowai,4.59,177.96,22.8,36.67,100,9.75,0,31.91,405,34.69,4.06,95.26
karnataka,Koppal,5.44,134.32,27.9,71.07,99,61.84,0,75.97,0,37.36,6.5,69.89
himachal pradesh,Kullu,4.3,139.86,0,25.23,99,0,0,57.42,30,1.05,4.4,96.46
andhra pradesh,Kurnool,5.35,110.73,28.1,70.85,98,23.51,1.01,49.98,0,52.22,6.01,79.27
uttar pradesh,Maharajganj,4.66,197.42,49.5,72.11,7,62.53,1.87,65.46,0,73.78,3.5,96.45
himachal pradesh,Mandi,4.72,177.73,17.5,36.56,100,14.25,0.02,22.54,30,2.56,3.7,92.98
bihar,Munger,4.85,115.29,79.1,52.52,65,31.9,0.06,29.43,67.5,64.14,4.8,96.7
bihar,Muzaffarpur,4.65,153.92,54,62.15,47,67.38,0.25,67.92,67.5,95.43,4.8,97.12
odisha,Nabarangapur,5.21,104.29,2.9,38.27,80,37.22,0,48.63,150,27.95,4.14,87.72
maharashtra,Nagpur,5.25,124.58,37.2,69.35,95,48.94,0.52,47.77,155,71.66,7.9,69.12
arunachal pradesh,Papum Pare,3.8,139.74,24,20.32,0,1.24,0.05,59.5,290,2.59,1.4,31.97
jammu and kashmir,Rajouri,4.78,186.47,10.6,35.93,0,12.41,0,21.39,235,9.96,3.8,88.68
meghalaya,Ri Bhoi,4.43,114.3,72.1,32.39,0,5.53,1.73,8.69,300,1.08,2.3,79.05
haryana,Rohtak,4.85,119.69,92.8,82.9,90,55.18,0.32,91.76,10,40.4,3.8,71.92
madhya pradesh,Seoni,5.22,184.18,35.3,73.6,99,41.38,0.63,45.38,135,42.1,6.4,74.67
bihar,Sheohar,4.6,189.68,58.4,60.42,12,61.49,0.39,53.89,67.5,98.84,4.3,97.81
uttar pradesh,Siddharth Nagar,4.71,186.76,54.3,75.33,1,63.31,0.77,75,0,63.54,3.89,96.23
jharkhand,Simdega,5.15,102.24,4.9,38.27,38,13.15,0.42,21.44,95,73.34,5.29,76.08
maharashtra,Solapur,5.33,104.18,26.5,78.24,100,77.54,0.84,67.65,155,76.57,7.17,71.01
assam,Sonitpur,4.21,185.65,8.2,33.4,0,10.28,0.31,22.95,465,56.52,3.3,86.37
meghalaya,South West Garo Hills,4.46,122.19,50.6,31.7,0,22.42,0.48,33.24,300,45.51,3.92,72.76
arunachal pradesh,Tawang,3.97,140.23,0,39.97,100,0,0.03,34.79,290,0,4.42,95.82
tamil nadu,The Nilgiris,4.99,103.81,1.9,53.08,93,9.72,0.02,28.95,0,41.81,3.6,95.16
kerala,Thiruvananthapuram,5.47,118.97,7.8,43.05,98,67.73,1.01,58.32,195,20.47,10.1,99.85
tripura,Unokoti,4.6,179.45,16.8,37.22,99,8.26,0,27.23,405,37.79,2.5,96.64
karnataka,Yadgir,5.45,124.12,47.2,63.85,100,37.99,0.06,76.7,0,34.89,5.8,69.34
maharashtra,Ahmadnagar,5.53,109.21,21.7,74.57,100,79.2,0.43,65.85,155,84.79,9.45,82.54
west bengal,Alipurduar,4.6,161.89,0,25.03,0,10.65,0.12,47.71,460,67.58,6.83,97.75
uttar pradesh,Auraiya,4.93,172.73,85.7,79.43,38,56.12,8.32,72.19,0,57.53,7.8,92.93
jammu and kashmir,Badgam,4.44,144.87,70.8,44.38,0,20.87,0,59.84,235,3.11,5.6,97.87
bihar,Begusarai,4.73,177.84,70.5,63.61,1,63.22,0.31,67.26,67.5,94.62,6.02,98.09
bihar,Bhagalpur,5.26,117.86,67.5,59.37,95,36.59,0.02,41.98,67.5,58.7,5.9,99.4
chhattisgarh,Bilaspur,4.73,113.35,44.4,44.13,100,63.58,0.23,45.2,0,14.73,7.9,89.63
uttarakhand,Chamoli,4.53,150.49,0,35.41,0,0,0,3.65,285,0.17,18.26,93.1
jharkhand,Deoghar,4.9,192.95,15,45.31,100,53.37,3.28,14.41,95,37.89,7.3,81.46
nagaland,Dimapur,4.5,145.57,47.4,37.05,0,5.55,0.13,64.13,320,4.43,6.5,17.47
rajasthan,Hanumangarh,4.98,156.46,64.2,79.12,41,61.08,0,85.92,167,6.98,18.12,29.03
chhattisgarh,Janjgir-Champa,5.21,111.57,81.1,43.85,98,30.32,0.78,58.42,0,11.56,6.8,91.9
assam,Karbi Anglong,4.31,142.47,19.4,40.2,0,2.81,0.02,12.06,465,46.85,5.09,85.24
bihar,Khagaria,4.69,141.97,68.6,54.57,8,59.52,0.09,57.06,67.5,92.76,5.9,96.03
nagaland,Kiphire,4.41,130.05,10.8,29.23,0,2.4,0.01,18.01,320,0.09,2.96,11.22
assam,Kokrajhar,4.28,154.42,12.1,34.48,0,5.07,0.39,27.62,465,42.1,17.4,90.21
kerala,Kottayam,5.21,127.03,13.9,29.03,99,37.11,0.15,73.36,195,29.36,5.1,98.22
jammu and kashmir,Kulgam,4.1,138,72.8,42.95,0,15.7,0.01,61.49,235,0.3,8.4,98.66
bihar,Lakhisarai,4.82,146.52,78.4,56.36,7,36.63,0.09,36.36,67.5,42.12,6.1,93.61
nagaland,Longleng,4.1,140.66,12.2,30.26,0,0.87,0.02,15.72,320,0.24,2.59,35.1
telangana,Mahbubnagar,5.39,128.22,22.8,63.77,99,58.83,4.99,58.05,0,71.71,14.3,85.93
karnataka,Mandya,5.45,122.47,47.4,58.15,100,60.75,2.96,58.49,0,28.03,5.1,95.55
odisha,Mayurbhanj,4.92,105.47,13.3,27.51,57,43.14,0.09,45.1,150,15.85,5.5,95.25
west bengal,Murshidabad,4.7,235.3,25.6,45.37,39,58.69,1.22,74.72,460,87.24,8.76,96.81
bihar,Nawada,4.93,115.3,90.8,59.73,25,49.35,0.04,48.36,67.5,57.88,5.5,97.36
andhra pradesh,Nellore,5.27,124.51,73.1,72.74,99,26.06,0,27.81,0,45.12,5.6,89.27
andhra pradesh,Prakasam,5.23,102.04,26.8,55.76,99,32.45,2.2,32.47,0,44.64,8,84.39
uttar pradesh,Pratapgarh-UP,4.87,177.42,42.4,76.26,11,78.63,0.07,45.97,0,73.53,6.8,97.03
jammu and kashmir,Pulwama,4.77,162.98,68.8,38.94,0,27.2,0,55.42,235,0.59,8.9,98.09
chhattisgarh,Raigarh-C,5.12,110.5,23.1,61.41,100,40.94,0.11,38.77,0,54.4,7.24,87.5
chhattisgarh,Rajnandgaon,5.21,149.97,32.1,51.6,96,69.7,0.56,46.17,0,13.01,6.8,82.53
maharashtra,Ratnagiri,5.16,111.54,3.1,60.65,98,17.3,0.07,37.16,155,74.76,6.8,82.68
jammu and kashmir,Reasi,4.56,168.07,5.3,37.14,0,21.91,0,15.88,235,6.24,8.1,93.94
madhya pradesh,Rewa,5.1,185.97,38.8,74.28,60,54.65,0.47,62.07,135,63.45,11.3,85.09
jammu and kashmir,Shupiyan,4.61,103.29,58.5,45.62,27,14.9,0,53.04,235,0.8,8.11,97.4
madhya pradesh,Sidhi,5.13,184.7,34.3,70.53,70,36.11,0.11,35.01,135,65.19,10.15,82.05
maharashtra,Sindhudurg,5.17,102.46,12,62.07,99,43.33,0.15,32.26,155,43.07,6.77,87.29
chhattisgarh,Surajpur,5.14,109.45,10.2,43.86,100,66.38,0.02,30.46,0,26.68,7.45,80.95
uttarakhand,Tehri Garhwal,4.77,141.86,0,42.74,0,0,2.94,9.69,285,0.65,11.83,95.09
uttarakhand,Uttarkashi,4.6,141.81,0,35.83,18,0,0.04,3.55,285,1.57,13.28,90.1
gujarat,Valsad,5.27,118.64,41.8,69.51,100,26.56,0.88,54.93,60,64.23,7.02,82.82
andhra pradesh,Visakhapatnam,5.02,117.78,42.5,59.05,85,41.05,1.81,23.16,0,24.54,5.1,92.51
maharashtra,Hingoli,5.3,124.79,40.7,64.78,74,36.41,1.56,78.85,155,91.22,10.64,76.43
maharashtra,Osmanabad,5.29,129.5,15.3,68.6,100,62.01,2,85.54,155,85.74,7.06,73.11
kerala,Alappuzha,5.34,126.13,44.6,23.06,100,39.33,0.13,61.13,195,61.87,3.7,99.48
odisha,Baleshwar,4.92,121.29,27.9,28.71,65,58.07,0.83,55.58,150,56.29,3.8,97.99
jammu and kashmir,Baramulla,4.5,101.79,45.2,27.6,100,13.86,0,59.28,235,0.79,2.8,96.55
uttar pradesh,Bareilly,4.8,193.38,93.3,74.08,3,71.62,0.6,73.24,0,60.5,5.12,93.71
uttar pradesh,Basti,4.74,178.85,95.4,72.75,9,65.63,0.83,70.78,0,89.66,4.33,95.63
chhattisgarh,Bemetara,5.2,177.3,51.2,53.17,100,93.18,8.44,79.15,0,30.25,8.12,85.09
tamil nadu,Chennai,5.37,115.04,0,61.79,0,127.47,0,0.86,0,40.43,5.5,0
uttar pradesh,Chitrakoot,5.01,115.95,51.9,68.47,17,82.32,0.25,48.69,0,47.57,11.65,88.04
andhra pradesh,Chittoor,5.34,116.41,43,62.03,99,56.11,4.69,24.58,0,74.1,5.5,91.65
west bengal,Dakshin Dinajpur,4.51,228.01,18.4,47.05,63,60.09,4.86,84.13,460,63.25,6.62,93.88
karnataka,Davanagere,5.44,127.79,43.7,62.22,100,88.91,0.27,72.48,0,37.85,6.25,80.18
tripura,Dhalai,4.6,182.37,24.8,34.6,100,6.99,0,9.82,405,13.51,3.42,96.1
assam,Dhemaji,3.97,142.59,1.2,23.65,2,5.07,0.26,23.1,465,70.2,3.46,87.03
chhattisgarh,Durg,5.22,140.01,69.9,48.89,100,76.19,0.83,64.06,0,27.06,7.4,86.73
kerala,Ernakulam,5.15,117.17,18.6,42.52,100,49.63,2.05,47.13,195,49.48,5.01,99.26
uttar pradesh,Etah,4.86,170.04,92.8,76.94,6,72.94,0.39,78.3,0,62.53,9.7,93.38
odisha,Jagatsinghapur,4.33,136.94,41.1,36.76,87,57.48,0.4,51.56,150,6.3,2.5,97.32
jammu and kashmir,Jammu,4.66,161.26,62.5,66.56,0,34.62,0.05,43.78,235,21.07,6.9,93.45
chhattisgarh,Kabeerdham,5.08,163.83,52.2,58.64,94,65.42,0.86,41.85,0,23.2,9.9,84.98
kerala,Kannur,5.1,115.15,8.8,39.68,98,49.75,0.34,62.6,195,53.86,7.8,99.14
uttar pradesh,Kanpur Nagar,4.89,175.79,68,77.1,33,78.16,0.4,63.04,0,73.04,7.7,92.46
kerala,Kozhikode,5.19,131.02,4.1,50.8,96,61.7,0.69,61.2,195,52.17,5.8,99.57
jammu and kashmir,Kupwara,4.27,100,49.2,39.12,100,18.04,0.01,69.09,235,0.77,3.9,97.7
assam,Lakhimpur,4.08,181.01,8.3,26.46,0,9.58,0.29,41.6,465,50.56,2.5,85.17
uttar pradesh,Mainpuri,4.89,167.69,100,79.13,5,71.96,0.11,72.36,0,74.21,5.89,95.47
west bengal,Maldah,4.58,209.03,23.5,45.76,76,35.57,1.43,62.41,460,83.51,5.3,96.31
telangana,Nalgonda,5.32,132.04,47.8,69.31,100,41.34,0.91,70.82,0,60.16,7.3,85.97
uttar pradesh,Pilibhit,4.78,170.95,97.8,69.91,24,64.78,0.33,61.05,0,69.01,4.02,87
uttar pradesh,Rae Bareli,4.89,167.63,89.2,80.4,16,58.71,0.82,57.92,0,66.99,5.93,95.84
chhattisgarh,Raipur,5.18,116.98,77.2,46.72,98,61.56,1.4,56.59,0,20.12,5.9,88.19
karnataka,Ramanagara,5.38,105.12,22.7,50.36,100,95.77,1.04,48.7,0,72.12,7.3,93.69
bihar,Samastipur,4.69,172.45,77,53.29,44,68.85,0.46,64.19,67.5,65.17,5.4,97.83
uttar pradesh,Sitapur,4.8,150.69,88.1,73.43,3,60.04,0.38,76.93,0,86.02,6.15,94.19
sikkim,South Sikkim,3.84,,7.4,13.34,0,7.2,0.02,,0,0.01,5.1,80.16
tripura,South Tripura,4.61,197.96,25.8,41.68,100,6.21,0,27.23,405,17.13,2.9,97.56
jammu and kashmir,Srinagar,4.44,133,70.6,48.4,0,78.21,0,60.46,235,0.82,7.4,98.76
uttar pradesh,Sultanpur,4.85,166.08,85.7,73.95,39,61.67,3.02,67.88,0,70.54,7.01,97.44
tamil nadu,Thoothukkudi,5.3,103.32,17.2,71.48,96,38.88,279.47,46.48,0,45.48,5.05,82.87
tamil nadu,Tiruchirappalli,5.59,113.77,46.3,66.74,87,73.94,11.37,36.37,0,58.7,7.89,93.64
tamil nadu,Tirunelveli,5.19,123.36,63.7,59.91,96,43.68,87.07,18.37,0,40.37,5.77,93.94
jammu and kashmir,Udhampur,4.53,193.55,14.1,26.7,0,23.95,0.03,15.15,235,2.72,3.8,89.32
arunachal pradesh,Upper Subansiri,3.25,137.67,19.3,11.39,0,0.18,0,28.19,290,7.49,4.69,19.26
andhra pradesh,West Godavari,5.1,167.15,91.7,62.74,98,10.99,10.33,48.39,0,49.92,5.4,92.03
sikkim,West Sikkim,3.58,,0,12.64,0,6.63,0.02,,0,0,4.94,82.17
maharashtra,Akola,5.31,118.2,8.1,65.7,90,65.59,0.38,81.47,155,92.76,14.8,75.29
gujarat,Anand,5.53,211.44,95.5,79.32,20,22.84,1.29,70.26,60,61.94,14.9,89.46
madhya pradesh,Ashoknagar,5.2,197.84,45.6,70.12,90,63.02,4.46,65.75,135,60.8,8.6,63.87
karnataka,Bangalore Rural,5.38,106.37,19.5,51.08,1,154,0.01,55.9,0,74.12,12.1,92.77
rajasthan,Barmer,5.57,114.06,22,77.45,44,132.25,0.03,58,167,96.11,31.9,25.41
assam,Barpeta,4.4,139.37,37.6,35.36,0,36.48,0.46,59.47,465,92.65,2.59,79.82
madhya pradesh,Barwani,5.29,172.05,45.8,78.59,79,71.38,0.09,43.66,135,38.78,10.7,71.56
madhya pradesh,Betul,5.24,179,32.2,70,86,49.65,0.62,45.78,135,58.65,9.9,68.71
madhya pradesh,Bhind,4.98,146.82,55.1,58.69,78,32.65,0.28,76.33,135,54.75,15,76.38
chhattisgarh,Bijapur,5.37,100.07,6.1,41.95,91,7.99,0.06,12.37,0,31.17,5,47.99
arunachal pradesh,East Kameng,3.56,127.47,14.3,27.68,0,1.27,0.02,54.09,290,26.47,2.57,21.62
uttar pradesh,Etawah,4.93,171.2,80.6,76.45,22,50.48,4.15,62.6,0,56.23,14.15,89.88
